,mode,epoch,index,loss,correct_label,predicted_label,true_positive,total_epoch_loss,elapsed_time
0,train,0,0,0.6673359274864197,general,general,1,0.6673359274864197,1.7318248748779297
1,train,0,1,0.4415886402130127,general,general,1,1.1089245676994324,4.264033079147339
2,train,0,2,0.680659294128418,tech,general,0,1.7895838618278503,4.644579887390137
3,train,0,3,0.2893376052379608,general,general,1,2.078921467065811,8.028005838394165
4,train,0,4,0.29993972182273865,general,general,1,2.37886118888855,8.575204849243164
5,train,0,5,0.24325457215309143,general,general,1,2.6221157610416412,9.312484979629517
6,train,0,6,0.21590840816497803,general,general,1,2.8380241692066193,10.765837907791138
7,train,0,7,0.234757661819458,general,general,1,3.0727818310260773,11.26641297340393
8,train,0,8,0.1609521359205246,general,general,1,3.233733966946602,11.485538959503174
9,train,0,9,0.8927773237228394,business,general,0,4.126511290669441,14.41277003288269
10,train,0,10,0.1617136001586914,general,general,1,4.288224890828133,14.675445079803467
11,train,0,11,0.15260374546051025,general,general,1,4.440828636288643,15.386021852493286
12,train,0,12,0.1205536499619484,general,general,1,4.561382286250591,15.92739200592041
13,train,0,13,0.1334175169467926,general,general,1,4.694799803197384,17.13615608215332
14,train,0,14,0.12235119193792343,general,general,1,4.817150995135307,22.356124877929688
15,train,0,15,0.13530519604682922,general,general,1,4.9524561911821365,26.407302856445312
16,train,0,16,0.09971445798873901,general,general,1,5.0521706491708755,27.73789691925049
17,train,0,17,0.09626691788434982,general,general,1,5.148437567055225,28.590630054473877
18,train,0,18,0.1047232374548912,general,general,1,5.253160804510117,32.38066482543945
19,train,0,19,0.9058007001876831,business,general,0,6.1589615046978,34.54720115661621
20,val,0,0,0.08851917088031769,general,general,1,0.08851917088031769,34.54720115661621
21,val,0,1,0.08867911994457245,general,general,1,0.17719829082489014,34.54720115661621
22,train,1,0,0.09032196551561356,general,general,1,0.09032196551561356,36.75075316429138
23,train,1,1,0.07249552011489868,general,general,1,0.16281748563051224,38.74709987640381
24,train,1,2,1.0521403551101685,tech,general,0,1.2149578407406807,39.16115403175354
25,train,1,3,0.08702638000249863,general,general,1,1.3019842207431793,42.65439796447754
26,train,1,4,0.1052611693739891,general,general,1,1.4072453901171684,43.206541776657104
27,train,1,5,0.10193322598934174,general,general,1,1.5091786161065102,43.94957494735718
28,train,1,6,0.10388364642858505,general,general,1,1.6130622625350952,45.39877200126648
29,train,1,7,0.09463779628276825,general,general,1,1.7077000588178635,45.915319204330444
30,train,1,8,0.08258850872516632,general,general,1,1.7902885675430298,46.16721296310425
31,train,1,9,0.800858199596405,business,general,0,2.591146767139435,48.39643406867981
32,train,1,10,0.09488792717456818,general,general,1,2.686034694314003,48.672515869140625
33,train,1,11,0.10846596956253052,general,general,1,2.7945006638765335,49.408523082733154
34,train,1,12,0.08139728009700775,general,general,1,2.8758979439735413,49.937958002090454
35,train,1,13,0.0947863832116127,general,general,1,2.970684327185154,51.15787982940674
36,train,1,14,0.09207813441753387,general,general,1,3.062762461602688,56.156798124313354
37,train,1,15,0.07727928459644318,general,general,1,3.140041746199131,60.97861409187317
38,train,1,16,0.10332632064819336,general,general,1,3.2433680668473244,62.31750798225403
39,train,1,17,0.11237975209951401,general,general,1,3.3557478189468384,63.18728303909302
40,train,1,18,0.08436235040426254,general,general,1,3.440110169351101,67.88318181037903
41,train,1,19,0.9016404151916504,business,general,0,4.341750584542751,70.88841605186462
42,val,1,0,0.07684391736984253,general,general,1,0.07684391736984253,70.88841605186462
43,val,1,1,0.07714800536632538,general,general,1,0.1539919227361679,70.88841605186462
44,train,2,0,0.08276258409023285,general,general,1,0.08276258409023285,73.22622084617615
45,train,2,1,0.0922280102968216,general,general,1,0.17499059438705444,75.22750496864319
46,train,2,2,0.9537976980209351,tech,general,0,1.1287882924079895,75.59918284416199
47,train,2,3,0.09520004689693451,general,general,1,1.223988339304924,79.21612095832825
48,train,2,4,0.12153371423482895,general,general,1,1.345522053539753,79.78556299209595
49,train,2,5,0.07090549170970917,general,general,1,1.4164275452494621,80.52416014671326
50,train,2,6,0.07220464199781418,general,general,1,1.4886321872472763,82.11354613304138
51,train,2,7,0.08987173438072205,general,general,1,1.5785039216279984,82.64108300209045
52,train,2,8,0.10262425243854523,general,general,1,1.6811281740665436,82.88114905357361
53,train,2,9,0.8766423463821411,business,general,0,2.5577705204486847,85.60064601898193
54,train,2,10,0.07366620004177094,general,general,1,2.6314367204904556,85.85447096824646
55,train,2,11,0.08912994712591171,general,general,1,2.7205666676163673,86.5529191493988
56,train,2,12,0.09064562618732452,general,general,1,2.811212293803692,87.07303786277771
57,train,2,13,0.08619451522827148,general,general,1,2.8974068090319633,88.27256512641907
58,train,2,14,0.08857893198728561,general,general,1,2.985985741019249,92.87215805053711
59,train,2,15,0.07649900019168854,general,general,1,3.0624847412109375,97.40054202079773
60,train,2,16,0.0769800990819931,general,general,1,3.1394648402929306,98.79807806015015
61,train,2,17,0.06888604164123535,general,general,1,3.208350881934166,99.84893608093262
62,train,2,18,0.05972355604171753,general,general,1,3.2680744379758835,104.1995439529419
63,train,2,19,1.0147124528884888,business,general,0,4.282786890864372,106.35560894012451
64,val,2,0,0.06948620080947876,general,general,1,0.06948620080947876,106.35560894012451
65,val,2,1,0.06972062587738037,general,general,1,0.13920682668685913,106.35560894012451
66,train,3,0,0.08119000494480133,general,general,1,0.08119000494480133,108.51748204231262
67,train,3,1,0.0829097256064415,general,general,1,0.16409973055124283,110.46000003814697
68,train,3,2,0.9290485382080078,tech,general,0,1.0931482687592506,110.83552384376526
69,train,3,3,0.0895288959145546,general,general,1,1.1826771646738052,114.15699195861816
70,train,3,4,0.07275468856096268,general,general,1,1.255431853234768,114.76566314697266
71,train,3,5,0.07478877902030945,general,general,1,1.3302206322550774,115.54891800880432
72,train,3,6,0.07730454206466675,general,general,1,1.407525174319744,117.04440402984619
73,train,3,7,0.08082155138254166,general,general,1,1.4883467257022858,117.6079728603363
74,train,3,8,0.09314856678247452,general,general,1,1.5814952924847603,117.87325286865234
75,train,3,9,0.8540409207344055,business,general,0,2.435536213219166,121.27714014053345
76,train,3,10,0.06776644289493561,general,general,1,2.5033026561141014,121.5484619140625
77,train,3,11,0.0731474980711937,general,general,1,2.576450154185295,122.29375100135803
78,train,3,12,0.0729924812912941,general,general,1,2.649442635476589,122.83855175971985
79,train,3,13,0.06464467942714691,general,general,1,2.714087314903736,124.10537505149841
80,train,3,14,0.07593923062086105,general,general,1,2.790026545524597,128.72334003448486
81,train,3,15,0.07626806199550629,general,general,1,2.8662946075201035,133.2137269973755
82,train,3,16,0.06630122661590576,general,general,1,2.932595834136009,134.58043694496155
